epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.413,3.12541,3.43969,4.24523,0.00316,0.85455,0.11154,0.04583,2.90714,3.77978,4.15514,0.00024,0.00024,0.00024
2,366.63,3.09286,3.39461,4.17092,0.00315,0.85455,0.15785,0.05371,2.87326,3.76526,4.1378,0.0004901,0.0004901,0.0004901
3,562.143,3.03039,3.37385,4.11766,0.00305,0.85455,0.14761,0.05331,2.81845,3.74445,4.09028,0.000729904,0.000729904,0.000729904
4,721.93,2.92088,3.25697,3.99766,0.00298,0.83636,0.16822,0.03537,2.85623,3.74615,4.00139,0.000959412,0.000959412,0.000959412
5,885.706,2.88432,3.17557,3.85002,0.00292,0.81818,0.19877,0.04012,2.95591,3.78616,3.93462,0.00117862,0.00117862,0.00117862
6,1045.23,2.83654,3.13464,3.70489,0.00289,0.8,0.05228,0.01786,3.07101,3.39376,4.59713,0.00138754,0.00138754,0.00138754
7,1210.59,2.75216,3.04101,3.54982,0.03435,0.72727,0.14516,0.04236,3.18807,10.7581,5.46775,0.00158616,0.00158616,0.00158616
8,1374.06,2.74043,2.9404,3.43011,0.03626,0.70909,0.07406,0.02482,3.09266,6.32399,4.32488,0.0017228,0.0017228,0.0017228
9,1538.04,2.6189,2.82603,3.27709,0.07624,0.19958,0.05197,0.01392,3.17773,14.3776,4.2215,0.0016832,0.0016832,0.0016832
10,1701.81,2.58638,2.75692,3.26607,0.11101,0.27273,0.07589,0.02194,2.8872,4.16927,3.82584,0.0016436,0.0016436,0.0016436
11,1863.95,2.59866,2.75181,3.26339,0.14807,0.16364,0.08044,0.02603,2.79383,6.32442,4.19203,0.001604,0.001604,0.001604
12,2027.84,2.41403,2.50593,3.10156,0.13696,0.29091,0.11893,0.04189,2.46842,8.05035,3.56062,0.0015644,0.0015644,0.0015644
13,2189.4,2.42784,2.53021,3.04364,0.33302,0.50839,0.28488,0.08496,2.54152,3.73889,3.44024,0.0015248,0.0015248,0.0015248
14,2350.8,2.37979,2.48587,3.01435,0.37726,0.47273,0.33611,0.09552,2.70818,2.80492,3.45245,0.0014852,0.0014852,0.0014852
15,2514.27,2.25498,2.35037,2.92098,0.37605,0.49091,0.35179,0.13445,2.43741,2.70045,3.16641,0.0014456,0.0014456,0.0014456
16,2678.25,2.32602,2.38193,2.88061,0.30547,0.47273,0.37324,0.15545,2.09966,2.70273,3.09686,0.001406,0.001406,0.001406
17,2875.5,2.24639,2.34315,2.87342,0.29647,0.69091,0.38831,0.15243,2.20069,2.67829,2.96158,0.0013664,0.0013664,0.0013664
18,3064.98,2.2048,2.17083,2.81342,0.43566,0.65455,0.43379,0.17481,2.19218,2.54479,2.9853,0.0013268,0.0013268,0.0013268
